WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	final_definition	final_gloss	final_uni_lemma
q60		food_drink	گیلاس	cherries			cherry	"I notice that some fruits exist in the bank and some not. Please make this consistent later. Eg for 'kiwi' I wrote 'fruit' (less common fruit), for 'cherry' I wrote 'fruit' (more common). "	گیلاس	cherries	cherry
q61		food_drink	لوبیا	beans	beans				لوبیا	beans	beans
q62		food_drink	لیمو	lemon	lemon				لیمو	lemon	lemon
q63		food_drink	ماست	yogurt	yogurt				ماست	yogurt	yogurt
q64	F24	food_drink	ماکارونی	macaroni	pasta				ماکارونی	macaroni	pasta
q65		food_drink	مربا	jam	jam				مربا	jam	jam
q66		food_drink	موز	banana	banana				موز	banana	banana
q67		food_drink	میوه	fruit	fruit				میوه	fruit	fruit
q68		food_drink	نان	bread	bread				نان	bread	bread
q69		food_drink	نارنگی	mandarin	orange (food)				نارنگی	mandarin	orange (food)
q70		food_drink	نوشابه	soda	soda				نوشابه	soda	soda
q71		food_drink	نخودچی	chickpeas			beans		نخودچی	chickpeas	
q72		food_drink	نمک	salt			salt		نمک	salt	salt
q73		food_drink	هلو	peach	peach				هلو	peach	peach
q74		food_drink	همبرگر	hamburgers			meat		همبرگر	hamburgers	hamburger
q75		food_drink	هندوانه	watermelon	watermelon				هندوانه	watermelon	watermelon
q76		food_drink	یخ	ice			water (beverage)		یخ	ice	ice
asbabbazi1		toys	اسباب بازی	toy	toy (object)				اسباب بازی	toy	toy (object)
asbab2		toys	بادبادک	kite			kite		بادبادک	kite	kite
asbab3	P2	toys	بادکنک	balloons	balloon				بادکنک	balloons	balloon
asbab4		toys	پازل	puzzle			puzzle		پازل	puzzle	puzzle
asbab5	M11	toys	تاب			swing	swing (object)		تاب	swing	swing (object)
asbab6		toys	تخته	board			game		تخته	board	
asbab7	P4	toys	توپ	ball	ball				توپ	ball	ball
asbab8		toys	چسب	adhesive			glue		چسب	glue	glue (object)
asbab9		toys	خط کش	ruler			ruler		خط کش	ruler	ruler
asbab10		toys	خمیر	play dough			play dough		خمیر	play dough	play dough
asbab11		toys	خودکار				pen/pencil		خودکار	pen/pencil	pen/pencil
asbab12		toys	دفتر	note book			book		دفتر	note book	notebook
asbab13		toys	سوت	whistle			whistle (object)		سوت	whistle	whistle (object)
asbab14		toys	عروسک	dolls	doll				عروسک	dolls	doll
asbab15		toys	شیپور	trumpet			trumpet		شیپور	trumpet	trumpet
asbab16		toys	طناب	rope	rope				طناب	rope	rope
asbab17		toys	کتاب	book	book				کتاب	book	book
asbab18		toys	کتاب داستان	story book			book		کتاب داستان	story book	book
asbab19		toys	لگو	lego	blocks		block	The bank has the singular noun.	لگو	lego	blocks
asbab20		toys	ماژیک	marker			pen/pencil		ماژیک	marker	
asbab21		toys	مداد	pencil	pen/pencil				مداد	pencil	pen/pencil
asbab22		toys	مداد رنگی	crayons			crayon		مداد رنگی	crayons	crayon
asbab23		toys	مشق	homework			book		مشق	homework	
asbab24		toys	نقاشی	painting			painting		نقاشی	painting	painting
heivanat1		animals	اهو	gazelle			gazelle	"See my comment to 89. Also, The correct spelling is آهو"	آهو	gazelle	
h2	N2	animals	اسب	horse	horse				اسب	horse	horse
h3		animals	اردک	duck	duck				اردک	duck	duck
h4	N3	animals	الاغ	donkey	donkey				الاغ	donkey	donkey
h5		animals	ببر	tiger	tiger				ببر	tiger	tiger
h6	N4	animals	بره	lamb	lamb				بره	lamb	lamb
h7		animals	بز	goat	goat				بز	goat	goat
h8		animals	بلبل			nightingale	bird		بلبل	nightingale	
h9		animals	پرنده	bird	bird				پرنده	bird	bird
h10	N5	animals	پروانه	butterfly	butterfly				پروانه	butterfly	butterfly
h11		animals	پشه			mosquito	mosquito		پشه	mosquito	mosquito
h12		animals	پلنگ	leopard			animal		پلنگ	leopard	leopard
h13	N8	animals	جوجه	chicken	chicken (animal)				جوجه	chicken	chicken (animal)
h14		animals	حیوان	animal	animal				حیوان	animal	animal
h15		animals	خر	donkey	donkey				خر	donkey	donkey
h16		animals	خرچنگ	crab			crab		خرچنگ	crab	crab
h17	N10	animals	خرس	bear	bear				خرس	bear	bear
h18	N11	animals	خرگوش	rabbit			bunny		خرگوش	rabbit	bunny
h19	N12	animals	خروس	rooster	rooster				خروس	rooster	rooster
h20	N13	animals	روباه	fox	fox				روباه	fox	fox
h21	N14	animals	زرافه	giraffe	giraffe				زرافه	giraffe	giraffe
h22	N15	animals	زنبور	bee	bee				زنبور	bee	bee
h23	N16	animals	سگ	dog	dog				سگ	dog	dog
h24	N17	animals	سنجاب	squirrel	squirrel				سنجاب	squirrel	squirrel
h25		animals	سوسک	beetle		cockroach	beetle		سوسک	cockroach	cockroach
h26	N18	animals	شتر	camel			camel		شتر	camel	camel
h27		animals	طوطی	parrot	parrot				طوطی	parrot	parrot
h28		animals	عقاب	eagle			eagle		عقاب	eagle	eagle
h29	N21	animals	فیل	elephant	elephant				فیل	elephant	elephant
h30	N22	animals	قورباغه	frog	frog				قورباغه	frog	frog
h31	N23	animals	کبوتر	pigeons			pigeon		کبوتر	pigeons	pigeon
h32	N24	animals	کلاغ	crow	crow				کلاغ	crow	crow
h33	N25	animals	گاو	cow	cow				گاو	cow	cow
h34	N26	animals	گربه	cat	cat				گربه	cat	cat
h35		animals	گرگ	wolf	wolf				گرگ	wolf	wolf
h36	N27	animals	گنجشک	sparrow	sparrow				گنجشک	sparrow	sparrow
h37		animals	گورخر	zebra	zebra				گورخر	zebra	zebra
h38	N28	animals	گوسفند	sheep	sheep				گوسفند	sheep	sheep
h39		animals	گوزن	deer	deer				گوزن	deer	deer
h40	N29	animals	لاک پشت	turtle	turtle				لاک پشت	turtle	turtle
h41	N31	animals	مار	snake	snake				مار	snake	snake
h42	N30	animals	ماهی	fish	fish (animal)				ماهی	fish	fish (animal)
h43	N32	animals	مرغ	chicken	chicken (animal)				مرغ	chicken	chicken (animal)
h44	N33	animals	مگس			fly	fly (animal)		مگس	fly	fly (animal)
h45	N34	animals	مورچه	ant	ant				مورچه	ant	ant
h46	N35	animals	موش	mouse	mouse				موش	mouse	mouse
h47	N36	animals	میمون	monkey	monkey				میمون	monkey	monkey
bazi1		games_routines	اب بازی			bath/waterplay	bath	The lemma is my proposal.	اب بازی	bath	bath
b2		games_routines	اتل متل					This is a traditional children's game. No equivalent in English as far as I know.	اتل متل	(traditional children's game)	
b3		games_routines	الله اکبر	allahu akbar				"The connotation of this item is not clear. It can be used in many situations, and it's not necessarily child language."	الله اکبر	(allahu akbar)	
b4		games_routines	الو			hello (on the phone)	call		الو	hello	hello
b5		games_routines	بای بای ( خداحافظ)	bye bye (goodbye)	bye				بای بای ( خداحافظ)	bye bye (goodbye)	bye
b6		games_routines	بله ( اره)			yes (yeah)	yes		بله ( اره)	yes / yeah	yes
b7		games_routines	به سلامت	goodbye	bye				به سلامت	goodbye	bye
b8		games_routines	تاب تاب عباسی					This is a traditional children's song. No equivalent in English as far as I know.	تاب تاب عباسی	(traditional children's song)	
b9		games_routines	خواب	sleep	sleep				خواب	sleep	sleep
b10		games_routines	دالی/داکی			peekaboo	peekaboo		دالی/داکی	peekaboo	peekaboo
b11		games_routines	ده- بیست- سی- چهل	ten- twenty- thirty- forty		"eeny, meeny, miny, moe"			ده- بیست- سی- چهل	ten- twenty- thirty- forty	
b12	I9	games_routines	سلام	hello	hello				سلام	hello	hello
b13	I10	games_routines	شام	dinner	dinner				شام	dinner	dinner
b14	I11	games_routines	شب بخیر	good night	good night				شب بخیر	good night	good night
b15		games_routines	عصرانه	evening meal		also: afternoon tea	tea party		عصرانه	evening meal	
b16		games_routines	عمو زنجیر باف					This is a traditional children's game. No equivalent in English as far as I know.	عمو زنجیر باف	(traditional children's game)	
b17		games_routines	عید	eid			party		عید	eid	
b18		games_routines	قایم (قایم باشک)			hide and seek	hide and seek		قایم (قایم باشک)	hide and seek	hide and seek
b19	I12	games_routines	صبحانه	breakfast	breakfast				صبحانه	breakfast	breakfast
b20		games_routines	صبح بخیر	good morning	good morning				صبح بخیر	good morning	good morning
b21		games_routines	کلاغ پر					This is a traditional children's game. No equivalent in English as far as I know.	کلاغ پر	(traditional children's game)	
b22		games_routines	لطفا	please	please				لطفا	please	please
b23		games_routines	مبارک	happy	happy				مبارک	happy	happy
b24		games_routines	مرسی (ممنون)			thanks	thanks		مرسی (ممنون)	thank you	thank you
b25		games_routines	نانای				dance	This is a word used as a rough equivalent to 'music' or as a part of a compound verb denoting 'to dance'.	نانای	music / dance	
b26		games_routines	نهار	lunch	lunch				نهار	lunch	lunch
b27		games_routines	هیس			Hush!	shh		هیس	hush	shh
makan1		outside	اداره	office	workplace		work (place)		اداره	office	work (place)
m2	M5	outside	باغ	garden	garden				باغ	garden	garden
m3		outside	بیرون	outside	outside				بیرون	outside	outside
m4	M9	outside	پارک	park	park				پارک	park	park
m5		outside	پل	bridge	bridge				پل	bridge	bridge
m6	M13	outside	حیاط	yard	yard				حیاط	yard	yard
m7	M14	outside	خانه	home	home				خانه	home	home
m8		outside	دریا	sea	sea				دریا	sea	sea
m9	M18	outside	ساحل	coast			beach		ساحل	coast	
m10		outside	سینما	cinema			movie	"Of course, 'outing' or 'go out' is not the same concept as 'cinema' but my proposal is only based on association. "	سینما	cinema	movie
m11		outside	کلاس	class			class		کلاس	class	
m12	M23	outside	کوچه	alley			street		کوچه	alley	
m13	M24	outside	کوه	mountain	mountain				کوه	mountain	mountain
m14	M26	outside	مدرسه	school	school				مدرسه	school	school
m15	M27	outside	مسجد	mosque	church				مسجد	mosque	church
m16		outside	مغازه	shop	store				مغازه	shop	store
m17		outside	مهمانی	party	party				مهمانی	party	party
pushak1		clothing	النگو	bangle			bracelet		النگو	bangle	bracelet
p2		clothing	انگشتر	ring			ring		انگشتر	ring	ring (object)
p3	J1	clothing	بلوز	blouse			shirt		بلوز	blouse	shirt
p4	J2	clothing	پوشک	diapers			diaper		پوشک	diapers	diaper
p5	J4	clothing	پیراهن	shirt	shirt				پیراهن	shirt	shirt
p6		clothing	تِل			"hair clip, hair bow"	hair tie		تِل	hair clip	hair clip
p7	J3	clothing	پیش بند	apron			apron		پیش بند	apron	apron
p8	J6	clothing	جوراب	socks	sock				جوراب	socks	sock
p9	J7	clothing	چادر			chador	scarf		چادر	chador	
p10		clothing	چکمه	boot	boots		boot		چکمه	boot	boots
p11		clothing	دستبند	bracelet			bracelet		دستبند	bracelet	bracelet
p12	J11	clothing	دستکش	gloves	gloves				دستکش	gloves	glove
p13	J8	clothing	دکمه	button	button				دکمه	button	button
p14		clothing	دمپای ی	slippers	slipper				دمپای ی	slippers	slipper
p15	J12	clothing	روسری	scarf	scarf				روسری	scarf	scarf
p16	J13	clothing	زیپ	zipper	zipper				زیپ	zipper	zipper
p17		clothing	سنجاق	pin			brooch		سنجاق	pin	
p18	J14	clothing	شال	shawl			shawl		شال	shawl	shawl
p19	J15	clothing	شلوار	pants	pants				شلوار	pants	pants
p20	J16	clothing	شورت	shorts	shorts				شورت	shorts	shorts
p21	J17	clothing	کاپشن	jacket	jacket				کاپشن	jacket	jacket
p22	J18	clothing	کت	coat	coat				کت	coat	coat
p23		clothing	کِش			elastic band	hair tie	This word is not in the original forms.	کِش	elastic band	
p24		clothing	ک فش	shoe	shoe			Correct spelling: کفش	کفش	shoe	shoe
p25	J20	clothing	کلاه	hat	hat				کلاه	hat	hat
p26		clothing	کمربند	belt			belt		کمربند	belt	belt
p27		clothing	گردنبند	necklaces	necklace				گردنبند	necklaces	necklace
p28		clothing	گل سر (گیر)			hairslide	headband		گل سر (گیر)	hairslide	
p29		clothing	گوشواره	earrings	earrings		earring		گوشواره	earrings	earring
p30	J21	clothing	لباس	dress	dress (object)				لباس	dress	dress (object)
p31	J22	clothing	مانتو			gown	dress (object)	Specific women's clothing item common in iran. 	مانتو	gown	dress (object)
badan1	K1	body_parts	ابرو			eyebrow	eyebrows		ابرو	eyebrow	eyebrow
badan2	K2	body_parts	انگشت	finger	finger				انگشت	finger	finger
badan3		body_parts	بازو	arm	arm				بازو	arm	arm
badan4	K3	body_parts	باسن*			buttock	butt		باسن*	butt	butt
badan5		body_parts	بینی(دماغ)	nose	nose				بینی(دماغ)	nose	nose
badan6	K6	body_parts	پا	leg	leg				پا	leg	leg
badan7		body_parts	چانه	chin	chin				چانه	chin	chin
badan8	K7	body_parts	چشم	eye	eye				چشم	eye	eye
badan9	K8	body_parts	دست	hand	hand				دست	hand	hand
badan10		body_parts	دل			belly	tummy	The lemma is my proposal. 'Belly button' exists in the bank but 'belly' doesn't.	دل	belly	tummy
badan11	K9	body_parts	دندان	tooth	tooth				دندان	tooth	tooth
badan12	K10	body_parts	دهان	mouth	mouth				دهان	mouth	mouth
badan13		body_parts	زانو	knee	knee				زانو	knee	knee
badan14	K12	body_parts	زبان	tongue	tongue				زبان	tongue	tongue
badan15		body_parts	سر (کله)	head	head				سر (کله)	head	head
badan16	T19	body_parts	شانه	shoulder			shoulder		شانه	shoulder	shoulder
badan17		body_parts	شکم			belly	belly button		شکم	belly	tummy
badan18		body_parts	شصت			thumb	finger	The Persian spelling is wrong. It should be شست	شست	thumb	thumb
badan19	K14	body_parts	صورت	face	face				صورت	face	face
badan20		body_parts	گردن	neck	neck				گردن	neck	neck
badan21		body_parts	وش			ear?		Typo. Maybe 'گوش' was meant (ear)	گوش	ear	ear
badan22		body_parts	لب ها	lips	lips				لب ها	lips	lips
badan23		body_parts	لپ	cheek	cheek				لپ	cheek	cheek
badan24	K18	body_parts	مو	hair	hair				مو	hair	hair
badan25		body_parts	مچ	wrist			arm		مچ	wrist	
badan26		body_parts	مشت	fist			hand		مشت	fist	
badan27		body_parts	مژه	eyelashes			eye		مژه	eyelashes	
badan28	K20	body_parts	ناف			belly button	belly button		ناف	belly button	belly button
afrad1		people	ادم	human			man/woman		ادم	human	person
afrad2		people	اسم خود کودک	baby's name	child's own name				اسم خود کودک	baby's name	child's own name
afrad3		people	اقا	sir	sir				اقا	sir	sir
afrad4		people	الله (خدا)	allah (god)			man/woman?		الله (خدا)	allah (god)	
afrad5	E4	people	بابا*	daddy	daddy				بابا*	daddy	daddy
afrad6		people	بابا بزرگ*	grandpa	grandpa				بابا بزرگ*	grandpa	grandpa
afrad7		people	بچه (نی نی)	baby	baby				بچه (نی نی)	baby	baby
afrad8	E7	people	پسر	boy	boy				پسر	boy	boy
afrad9		people	پستچی	postman			mailman		پستچی	postman	mailman
afrad10		people	پلیس	cop	policeman				پلیس	cop	policeman
afrad11	E9	people	خاله	aunt	aunt				خاله	aunt	aunt
afrad12		people	خانم	lady	lady				خانم	lady	lady
afrad13		people	خواهر ( ابجی) *	sister	sister			The correct spelling of the word in parentheses is آبجی 	خواهر ( ابجی) *	sister	sister
afrad14		people	داداش*	brother	brother				داداش*	brother	brother
afrad15		people	دای ی	uncle	uncle			The correct spelling is دایی	دای ی	uncle	uncle
afrad16	E13	people	دختر	girl	girl				دختر	girl	girl
afrad17		people	دک ت ر	doctor	doctor			The correct spelling is دکتر	دک ت ر	doctor	doctor
afrad18		people	دوست	friend	friend				دوست	friend	friend
afrad19		people	راننده	driver			driver		راننده	driver	driver
afrad20		people	زن	female			woman		زن	female	woman
afrad21	E16	people	عمو	uncle	uncle				عمو	uncle	uncle
afrad22	E15	people	عمه	aunt	aunt				عمه	aunt	aunt
afrad23	E17	people	مامان*	mommy	mommy				مامان*	mommy	mommy
afrad24		people	مامان بزرگ*	grandma	grandma				مامان بزرگ*	grandma	grandma
afrad25		people	مرد	man	man				مرد	man	man
afrad26		people	معلم	teacher	teacher				معلم	teacher	teacher
afrad27		people	مهندس	engineer			engineer		مهندس	engineer	engineer
v.kh1		furniture_rooms	اشپزخانه	kitchen	kitchen				اشپزخانه	kitchen	kitchen
v.kh2		furniture_rooms	ایفون			door intercom	telephone	The correct spelling is آیفون	آیفون	phone	telephone
v.kh3		furniture_rooms	اتاق	room	room				اتاق	room	room
v.kh4		furniture_rooms	اتو	iron			iron		اتو	iron	iron (object)
v.kh5		furniture_rooms	اجاق (گاز)			stove	stove		اجاق (گاز)	stove	stove
v.kh6		furniture_rooms	ایوان	porch	porch				ایوان	porch	porch
v.kh7		furniture_rooms	بخاری	heater			radiator		بخاری	heater	radiator
v.kh8		furniture_rooms	پارکینگ	parking			parking spot		پارکینگ	parking	
v.kh9		furniture_rooms	پذیرایی	catering		living room	living room		پذیرایی	living room	living room
v.kh10		furniture_rooms	پله	step			stairs		پله	step	stairs
v.kh11	H8	furniture_rooms	پنجره	window	window				پنجره	window	window
v.kh12		furniture_rooms	تخت			bed	bed		تخت	bed	bed
v.kh13	H10	furniture_rooms	تلویزیون	television	tv		TV		تلویزیون	television	TV
v.kh14	H11	furniture_rooms	حمام	bathroom	bathroom				حمام	bathroom	bathroom
v.kh15	H12	furniture_rooms	در	door	door				در	door	door
v.kh16	H14	furniture_rooms	دستشویی	toilet			potty		دستشویی	toilet	toilet
v.kh17		furniture_rooms	دوش	shower	shower				دوش	shower	shower
v.kh18	H13	furniture_rooms	دیوار	wall	wall				دیوار	wall	wall
v.kh19		furniture_rooms	رختخواب	bed	bed			The Persian is more than bedding and includes mattress as well.	رختخواب	bed	bed
v.kh20		furniture_rooms	زیرزمین			basement	basement	The lemma is my proposal.	زیرزمین	basement	basement
v.kh21		furniture_rooms	سماور			samovar	teapot		سماور	samovar	teapot
v.kh22	H16	furniture_rooms	صندلی	chair	chair				صندلی	chair	chair
v.kh23		furniture_rooms	ضبط	record		"record player, voice recorder"			ضبط	record player	
v.kh24		furniture_rooms	فریزر	freezer			refrigerator		فریزر	freezer	
v.kh25		furniture_rooms	ظرفشویی	dishwasher			dishwasher	The lemma is my proposal.	ظرفشویی	dishwasher	dishwasher
v.kh26		furniture_rooms	قالی ( فرش)	carpet	carpet				قالی ( فرش)	carpet	carpet
v.kh27		furniture_rooms	کامپیوتر	computer	computer				کامپیوتر	computer	computer
v.kh28		furniture_rooms	کشو	drawing		drawer	dresser		کشو	dresser	cupboard
v.kh29	H20	furniture_rooms	کمد	closet	closet				کمد	closet	closet
v.kh30		furniture_rooms	ماشین لباسشویی	washing machine	washing machine				ماشین لباسشویی	washing machine	washing machine
v.kh31		furniture_rooms	مبل	sofa	couch				مبل	sofa	couch
v.kh32		furniture_rooms	میز	table	table				میز	table	table
v.kh33		furniture_rooms	یخچال	refrigerator	refrigerator				یخچال	refrigerator	refrigerator
shayha1		household	اشغال	rubbish	trash			The correct spelling is آشغال	اشغال	rubbish	trash
sh2		household	اینه	mirror	mirror			The correct spelling is آینه	اینه	mirror	mirror
sh3		household	استکان	glass	glass				استکان	glass	glass
sh4		household	بالش (پشتی)	pillow (back)	pillow	pillow (cushion)	pillow		بالش (پشتی)	pillow (back)	pillow
sh5		household	برس	brush	brush (object)				برس	brush	brush (object)
sh6		household	بشقاب	plate	plate				بشقاب	plate	plate
sh7		household	پارچ	pitcher			pitcher		پارچ	pitcher	
sh8		household	پارچه	cloth	cloth				پارچه	cloth	cloth
sh9		household	پتو			blanket	blanket		پتو	blanket	blanket
sh10		household	پرده	curtain	curtain				پرده	curtain	curtain
sh11		household	پول	money	money				پول	money	money
sh12		household	پیچ	screw			screw		پیچ	screw	
sh13		household	پیچ گوشتی	screw driver			screwdriver		پیچ گوشتی	screw driver	
sh14		household	تلفن	phone	telephone				تلفن	phone	telephone
sh15		household	جارو	broom	broom				جارو	broom	broom
sh16		household	جارو برقی	vacuum cleaner			vacuum		جارو برقی	vacuum cleaner	vacuum
sh17		household	چاقو	knife	knife				چاقو	knife	knife
sh18		household	چتر	umbrella	umbrella				چتر	umbrella	umbrella
sh19		household	چکش	hammer	hammer				چکش	hammer	hammer
sh20	T12	household	چنگال			fork	fork		چنگال	fork	fork
sh21		household	چوب	wood		wood / stick	wood		چوب	wood	wood
sh22	T13	household	حوله	towel	towel				حوله	towel	towel
sh23		household	خمیر دندان	toothpaste			toothpaste		خمیر دندان	toothpaste	toothpaste
sh24		household	دارو	medicine	medicine				دارو	medicine	medicine
sh25		household	دستمال	napkin			tissue		دستمال	napkin	tissue
sh26		household	دوربین	camera	camera				دوربین	camera	camera
sh27		household	دیس			platter	plate		دیس	platter	plate
sh28		household	رادیو	radio	radio				رادیو	radio	radio
sh29	T15	household	ساعت	watch		watch/clock	watch (object)		ساعت	watch / clock	watch (object)
sh30	T16	household	سطل			bucket	bucket		سطل	bucket	bucket
sh31		household	سوزن	needle			needle		سوزن	needle	needle
sh32		household	سی دی	disk		CD	CD		سی دی	disk	CD
sh33	T18	household	سینی			tray	tray		سینی	tray	tray
sh34	T20	household	شامپو	shampoo			shampoo		شامپو	shampoo	shampoo
